city,date,avg_temperature_c,max_temperature_c,min_temperature_c,avg_humidity_pct,total_precipitation_mm,max_wind_speed_kmh,avg_cloud_cover_pct
Cebu City,2026-09-20,28.224999999999998,31.9,25.1,83.91666666666667,2.7,10.0,75.875
Cebu City,2026-09-21,27.275000000000002,30.6,25.0,89.125,4.0,9.5,90.375
Cebu City,2026-09-22,26.5125,29.7,24.5,91.875,10.200000000000001,8.5,83.41666666666667
Cebu City,2026-09-23,26.27916666666667,28.9,24.8,93.54166666666667,22.099999999999998,8.3,93.75
Cebu City,2026-09-24,26.3625,29.4,24.7,92.75,20.7,5.2,95.04166666666667
Cebu City,2026-09-25,25.758333333333336,28.0,24.1,94.58333333333333,28.8,9.6,85.95833333333333
Cebu City,2026-09-26,26.2625,28.7,23.2,90.54166666666667,8.4,9.8,80.54166666666667
Davao City,2026-09-20,27.504166666666666,30.7,25.3,80.875,0.4,16.6,87.5
Davao City,2026-09-21,26.758333333333336,30.6,24.7,82.95833333333333,2.1,12.0,74.08333333333333
Davao City,2026-09-22,26.454166666666666,31.4,24.4,83.79166666666667,7.1,12.8,78.54166666666667
Davao City,2026-09-23,26.775000000000002,30.0,24.7,85.375,0.4,12.3,87.58333333333333
Davao City,2026-09-24,26.754166666666666,29.7,24.6,84.5,2.1,13.5,84.54166666666667
Davao City,2026-09-25,25.870833333333334,27.9,24.6,87.45833333333333,2.7,11.4,95.0
Davao City,2026-09-26,26.308333333333334,28.5,24.5,86.66666666666667,3.0,11.9,95.54166666666667
Manila,2026-09-20,27.7,31.3,25.1,84.66666666666667,0.6000000000000001,12.7,84.95833333333333
Manila,2026-09-21,27.224999999999998,29.9,25.3,84.625,2.9,13.5,57.75
Manila,2026-09-22,26.90833333333333,30.0,25.0,85.54166666666667,4.0,11.9,71.0
Manila,2026-09-23,26.5,30.9,24.5,86.33333333333333,8.200000000000001,10.3,61.791666666666664
Manila,2026-09-24,26.349999999999998,30.8,24.4,88.08333333333333,10.5,10.7,62.875
Manila,2026-09-25,26.724999999999998,30.8,24.2,87.66666666666667,11.7,7.0,38.541666666666664
Manila,2026-09-26,27.025000000000002,31.1,24.3,83.83333333333333,1.7999999999999998,7.0,39.208333333333336
Pasig City,2026-09-20,27.7625,32.0,24.4,84.625,2.5,9.1,86.70833333333333
Pasig City,2026-09-21,27.099999999999998,30.9,25.1,85.45833333333333,8.9,10.5,60.958333333333336
Pasig City,2026-09-22,26.52916666666667,31.0,24.4,88.20833333333333,13.8,8.7,72.16666666666667
Pasig City,2026-09-23,26.083333333333332,31.8,23.8,88.79166666666667,15.600000000000001,12.4,66.41666666666667
Pasig City,2026-09-24,26.087500000000002,30.9,23.7,89.75,23.7,7.1,71.58333333333333
Pasig City,2026-09-25,26.650000000000002,32.1,23.5,86.66666666666667,12.0,5.6,46.75
Pasig City,2026-09-26,27.09166666666667,31.8,23.5,85.5,0.6000000000000001,4.9,40.791666666666664
