city,time,latitude,longitude,timezone,temperature_c,humidity_pct,feels_like_c,precip_probability_pct,precipitation_mm,rain,weather_code,cloud_cover,wind_speed_kmh,date,hour,day_of_week,is_raining,temperature_difference,is_hot,weather_description
Manila,2026-09-20 00:00:00,14.586995,121.002785,Asia/Manila,25.5,96,31.3,65,0.1,0.1,51,39,6.0,2026-09-20,0,Sunday,True,-5.800000000000001,False,Light drizzle
Manila,2026-09-20 01:00:00,14.586995,121.002785,Asia/Manila,25.3,96,30.8,51,0.0,0.0,2,63,6.9,2026-09-20,1,Sunday,False,-5.5,False,Partly cloudy
Manila,2026-09-20 02:00:00,14.586995,121.002785,Asia/Manila,25.6,98,31.5,39,0.0,0.0,2,55,5.8,2026-09-20,2,Sunday,False,-5.899999999999999,False,Partly cloudy
Manila,2026-09-20 03:00:00,14.586995,121.002785,Asia/Manila,25.3,97,31.1,30,0.0,0.0,3,81,5.4,2026-09-20,3,Sunday,False,-5.800000000000001,False,Overcast
Manila,2026-09-20 04:00:00,14.586995,121.002785,Asia/Manila,25.2,96,30.9,24,0.0,0.0,3,89,4.6,2026-09-20,4,Sunday,False,-5.699999999999999,False,Overcast
Manila,2026-09-20 05:00:00,14.586995,121.002785,Asia/Manila,25.1,96,30.8,18,0.0,0.0,3,93,4.1,2026-09-20,5,Sunday,False,-5.699999999999999,False,Overcast
Manila,2026-09-20 06:00:00,14.586995,121.002785,Asia/Manila,25.2,95,31.0,13,0.0,0.0,3,94,3.4,2026-09-20,6,Sunday,False,-5.800000000000001,False,Overcast
Manila,2026-09-20 07:00:00,14.586995,121.002785,Asia/Manila,25.7,95,31.8,10,0.0,0.0,3,95,3.0,2026-09-20,7,Sunday,False,-6.100000000000001,False,Overcast
Manila,2026-09-20 08:00:00,14.586995,121.002785,Asia/Manila,26.9,90,33.6,8,0.0,0.0,3,91,0.4,2026-09-20,8,Sunday,False,-6.700000000000003,False,Overcast
Manila,2026-09-20 09:00:00,14.586995,121.002785,Asia/Manila,28.7,81,35.3,7,0.0,0.0,3,100,1.0,2026-09-20,9,Sunday,False,-6.599999999999998,False,Overcast
Manila,2026-09-20 10:00:00,14.586995,121.002785,Asia/Manila,29.7,76,37.2,7,0.0,0.0,3,99,2.6,2026-09-20,10,Sunday,False,-7.5000000000000036,False,Overcast
Manila,2026-09-20 11:00:00,14.586995,121.002785,Asia/Manila,30.3,72,38.1,8,0.0,0.0,3,95,5.2,2026-09-20,11,Sunday,False,-7.800000000000001,False,Overcast
Manila,2026-09-20 12:00:00,14.586995,121.002785,Asia/Manila,30.7,70,38.5,10,0.0,0.0,3,91,6.7,2026-09-20,12,Sunday,False,-7.800000000000001,False,Overcast
Manila,2026-09-20 13:00:00,14.586995,121.002785,Asia/Manila,31.3,64,38.6,12,0.0,0.0,3,88,7.2,2026-09-20,13,Sunday,False,-7.300000000000001,False,Overcast
Manila,2026-09-20 14:00:00,14.586995,121.002785,Asia/Manila,30.8,67,37.3,14,0.0,0.0,3,83,9.3,2026-09-20,14,Sunday,False,-6.4999999999999964,False,Overcast
Manila,2026-09-20 15:00:00,14.586995,121.002785,Asia/Manila,30.2,72,35.7,14,0.0,0.0,3,92,10.5,2026-09-20,15,Sunday,False,-5.5000000000000036,False,Overcast
Manila,2026-09-20 16:00:00,14.586995,121.002785,Asia/Manila,29.7,74,34.3,15,0.0,0.0,3,97,12.7,2026-09-20,16,Sunday,False,-4.599999999999998,False,Overcast
Manila,2026-09-20 17:00:00,14.586995,121.002785,Asia/Manila,29.4,76,34.1,20,0.0,0.0,3,98,12.0,2026-09-20,17,Sunday,False,-4.700000000000003,False,Overcast
Manila,2026-09-20 18:00:00,14.586995,121.002785,Asia/Manila,28.5,79,33.6,35,0.2,0.2,51,98,8.9,2026-09-20,18,Sunday,True,-5.100000000000001,False,Light drizzle
Manila,2026-09-20 19:00:00,14.586995,121.002785,Asia/Manila,27.9,86,34.1,54,0.1,0.1,51,98,4.8,2026-09-20,19,Sunday,True,-6.200000000000003,False,Light drizzle
Manila,2026-09-20 20:00:00,14.586995,121.002785,Asia/Manila,27.4,88,33.4,67,0.2,0.2,51,99,5.6,2026-09-20,20,Sunday,True,-6.0,False,Light drizzle
Manila,2026-09-20 21:00:00,14.586995,121.002785,Asia/Manila,27.1,89,32.9,67,0.0,0.0,3,91,6.5,2026-09-20,21,Sunday,False,-5.799999999999997,False,Overcast
Manila,2026-09-20 22:00:00,14.586995,121.002785,Asia/Manila,26.7,90,32.5,61,0.0,0.0,3,80,6.4,2026-09-20,22,Sunday,False,-5.800000000000001,False,Overcast
Manila,2026-09-20 23:00:00,14.586995,121.002785,Asia/Manila,26.6,89,32.5,55,0.0,0.0,1,30,3.9,2026-09-20,23,Sunday,False,-5.899999999999999,False,Mainly clear
Manila,2026-09-21 00:00:00,14.586995,121.002785,Asia/Manila,26.4,90,32.2,53,0.0,0.0,1,25,4.0,2026-09-21,0,Monday,False,-5.800000000000004,False,Mainly clear
Manila,2026-09-21 01:00:00,14.586995,121.002785,Asia/Manila,26.1,91,31.9,52,0.0,0.0,0,17,3.7,2026-09-21,1,Monday,False,-5.799999999999997,False,Clear sky
Manila,2026-09-21 02:00:00,14.586995,121.002785,Asia/Manila,25.7,93,31.6,51,0.0,0.0,0,18,3.8,2026-09-21,2,Monday,False,-5.900000000000002,False,Clear sky
Manila,2026-09-21 03:00:00,14.586995,121.002785,Asia/Manila,25.8,91,31.6,52,0.0,0.0,1,20,2.8,2026-09-21,3,Monday,False,-5.800000000000001,False,Mainly clear
Manila,2026-09-21 04:00:00,14.586995,121.002785,Asia/Manila,25.3,91,30.4,54,0.8,0.5,53,59,5.6,2026-09-21,4,Monday,True,-5.099999999999998,False,Moderate drizzle
Manila,2026-09-21 05:00:00,14.586995,121.002785,Asia/Manila,25.5,91,30.5,53,0.2,0.2,51,49,6.7,2026-09-21,5,Monday,True,-5.0,False,Light drizzle
Manila,2026-09-21 06:00:00,14.586995,121.002785,Asia/Manila,25.7,91,31.5,45,0.0,0.0,2,64,2.3,2026-09-21,6,Monday,False,-5.800000000000001,False,Partly cloudy
Manila,2026-09-21 07:00:00,14.586995,121.002785,Asia/Manila,26.2,89,31.8,34,0.0,0.0,2,79,3.8,2026-09-21,7,Monday,False,-5.600000000000001,False,Partly cloudy
Manila,2026-09-21 08:00:00,14.586995,121.002785,Asia/Manila,27.3,83,32.7,25,0.0,0.0,2,78,4.8,2026-09-21,8,Monday,False,-5.400000000000002,False,Partly cloudy
Manila,2026-09-21 09:00:00,14.586995,121.002785,Asia/Manila,28.5,77,33.8,20,0.0,0.0,2,78,5.3,2026-09-21,9,Monday,False,-5.299999999999997,False,Partly cloudy
Manila,2026-09-21 10:00:00,14.586995,121.002785,Asia/Manila,29.2,74,35.4,16,0.0,0.0,1,31,7.0,2026-09-21,10,Monday,False,-6.199999999999999,False,Mainly clear
Manila,2026-09-21 11:00:00,14.586995,121.002785,Asia/Manila,29.5,75,36.7,16,0.0,0.0,1,38,9.0,2026-09-21,11,Monday,False,-7.200000000000003,False,Mainly clear
Manila,2026-09-21 12:00:00,14.586995,121.002785,Asia/Manila,29.5,75,36.8,19,0.0,0.0,2,55,10.5,2026-09-21,12,Monday,False,-7.299999999999997,False,Partly cloudy
